"rules","support","confidence","coverage","lift","count"
"{} => {mineral water}",0.238266666666667,0.238266666666667,1,1,1787
"{asparagus} => {mineral water}",0.00213333333333333,0.444444444444444,0.0048,1.86532363365044,16
"{hand protein bar} => {mineral water}",0.002,0.384615384615385,0.0052,1.61422237527442,15
"{candy bars} => {mineral water}",0.00226666666666667,0.232876712328767,0.00973333333333334,0.977378479275743,17
"{shallot} => {cookies}",0.002,0.258620689655172,0.00773333333333333,3.21667524446732,15
"{shallot} => {green tea}",0.00226666666666667,0.293103448275862,0.00773333333333333,2.22048066875653,17
"{shallot} => {french fries}",0.00266666666666667,0.344827586206897,0.00773333333333333,2.01732207219323,20
"{mayonnaise} => {mineral water}",0.00293333333333333,0.478260869565217,0.00613333333333333,2.00725043186297,22
"{pet food} => {mineral water}",0.002,0.306122448979592,0.00653333333333333,1.28478923746331,15
"{gluten free bar} => {pancakes}",0.00213333333333333,0.307692307692308,0.00693333333333333,3.23659510195275,16
"{gluten free bar} => {mineral water}",0.00213333333333333,0.307692307692308,0.00693333333333333,1.29137790021953,16
"{spinach} => {french fries}",0.00213333333333333,0.307692307692308,0.00693333333333333,1.80007200288012,16
"{spinach} => {mineral water}",0.00253333333333333,0.365384615384615,0.00693333333333333,1.5335112565107,19
"{antioxydant juice} => {french fries}",0.0024,0.272727272727273,0.0088,1.59551836618919,18
"{antioxydant juice} => {mineral water}",0.00253333333333333,0.287878787878788,0.0088,1.20822098997813,19
"{burger sauce} => {spaghetti}",0.0024,0.409090909090909,0.00586666666666667,2.34929695113462,18
"{burger sauce} => {mineral water}",0.0024,0.409090909090909,0.00586666666666667,1.71694561733734,18
"{chili} => {spaghetti}",0.0024,0.391304347826087,0.00613333333333333,2.24715360543312,18
"{chili} => {mineral water}",0.00213333333333333,0.347826086956522,0.00613333333333333,1.45981849590034,16
"{strong cheese} => {milk}",0.00226666666666667,0.293103448275862,0.00773333333333333,2.26160068114091,17
"{strong cheese} => {spaghetti}",0.00373333333333333,0.482758620689655,0.00773333333333333,2.77235042509373,28
"{strong cheese} => {mineral water}",0.0032,0.413793103448276,0.00773333333333333,1.73668062443317,24
"{flax seed} => {green tea}",0.00306666666666667,0.338235294117647,0.00906666666666667,2.56238859180036,23
"{flax seed} => {french fries}",0.002,0.220588235294118,0.00906666666666667,1.29049279618244,15
"{flax seed} => {chocolate}",0.00213333333333333,0.235294117647059,0.00906666666666667,1.43588761786244,16
"{flax seed} => {eggs}",0.002,0.220588235294118,0.00906666666666667,1.22730843079071,15
"{flax seed} => {spaghetti}",0.002,0.220588235294118,0.00906666666666667,1.26677776776867,15
"{toothpaste} => {spaghetti}",0.00213333333333333,0.262295081967213,0.00813333333333333,1.50628875555444,16
"{toothpaste} => {mineral water}",0.00226666666666667,0.278688524590164,0.00813333333333333,1.16964965552671,17
"{clothes accessories} => {green tea}",0.0024,0.285714285714286,0.0084,2.16450216450216,18
"{clothes accessories} => {mineral water}",0.00266666666666667,0.317460317460317,0.0084,1.33237402403603,20
"{zucchini} => {chocolate}",0.0028,0.295774647887324,0.00946666666666667,1.80497140696089,21
"{zucchini} => {spaghetti}",0.00306666666666667,0.323943661971831,0.00946666666666667,1.8603196514462,23
"{zucchini} => {mineral water}",0.00346666666666667,0.366197183098592,0.00946666666666667,1.53692158547254,26
"{green beans} => {milk}",0.002,0.230769230769231,0.00866666666666667,1.78062678062678,15
"{green beans} => {french fries}",0.00266666666666667,0.307692307692308,0.00866666666666667,1.80007200288012,20
"{green beans} => {spaghetti}",0.00346666666666667,0.4,0.00866666666666667,2.29709035222052,26
"{green beans} => {mineral water}",0.0024,0.276923076923077,0.00866666666666667,1.16224011019758,18
"{bug spray} => {spaghetti}",0.00266666666666667,0.307692307692308,0.00866666666666667,1.76699257863117,20
"{bug spray} => {mineral water}",0.00266666666666667,0.307692307692308,0.00866666666666667,1.29137790021953,20
"{salt} => {french fries}",0.002,0.217391304347826,0.0092,1.27179000203486,15
"{green grapes} => {frozen vegetables}",0.00213333333333333,0.238805970149254,0.00893333333333333,2.50495772883833,16
"{green grapes} => {french fries}",0.00213333333333333,0.238805970149254,0.00893333333333333,1.39707080820546,16
"{green grapes} => {eggs}",0.00213333333333333,0.238805970149254,0.00893333333333333,1.32866823154258,16
"{green grapes} => {spaghetti}",0.00226666666666667,0.253731343283582,0.00893333333333333,1.45710955178167,17
"{green grapes} => {mineral water}",0.00306666666666667,0.343283582089552,0.00893333333333333,1.4407537021106,23
"{whole weat flour} => {pancakes}",0.00226666666666667,0.246376811594203,0.0092,2.59162144033173,17
"{whole weat flour} => {green tea}",0.00226666666666667,0.246376811594203,0.0092,1.86649099692578,17
"{whole weat flour} => {milk}",0.00226666666666667,0.246376811594203,0.0092,1.901055645017,17
"{whole weat flour} => {french fries}",0.00253333333333333,0.27536231884058,0.0092,1.61093400257749,19
"{whole weat flour} => {spaghetti}",0.00226666666666667,0.246376811594203,0.0092,1.41487449230974,17
"{whole weat flour} => {mineral water}",0.00333333333333333,0.36231884057971,0.0092,1.52064426656286,25
"{yams} => {ground beef}",0.00266666666666667,0.235294117647059,0.0113333333333333,2.39444488786016,20
"{yams} => {chocolate}",0.0024,0.211764705882353,0.0113333333333333,1.2922988560762,18
"{yams} => {spaghetti}",0.0024,0.211764705882353,0.0113333333333333,1.21610665705792,18
"{yams} => {mineral water}",0.00346666666666667,0.305882352941176,0.0113333333333333,1.28378155963001,26
"{blueberries} => {ground beef}",0.0024,0.260869565217391,0.0092,2.65471063654062,18
"{blueberries} => {chocolate}",0.00213333333333333,0.231884057971014,0.0092,1.41507765238617,16
"{blueberries} => {eggs}",0.00213333333333333,0.231884057971014,0.0092,1.29015610888918,16
"{blueberries} => {spaghetti}",0.00346666666666667,0.376811594202899,0.0092,2.16392569412078,26
"{blueberries} => {mineral water}",0.0036,0.391304347826087,0.0092,1.64229580788789,27
"{body spray} => {french fries}",0.00426666666666667,0.372093023255814,0.0114666666666667,2.17683125929688,32
"{body spray} => {spaghetti}",0.00266666666666667,0.232558139534884,0.0114666666666667,1.33551764663984,20
"{body spray} => {mineral water}",0.00413333333333333,0.36046511627907,0.0114666666666667,1.51286422612928,31
"{cider} => {burgers}",0.00213333333333333,0.20253164556962,0.0105333333333333,2.32261061433051,16
"{cider} => {green tea}",0.00253333333333333,0.240506329113924,0.0105333333333333,1.82201764480245,19
"{cider} => {milk}",0.00333333333333333,0.316455696202532,0.0105333333333333,2.44178777934052,25
"{cider} => {french fries}",0.00293333333333333,0.278481012658228,0.0105333333333333,1.62917909121428,22
"{cider} => {chocolate}",0.00213333333333333,0.20253164556962,0.0105333333333333,1.23595389891957,16
"{cider} => {eggs}",0.00426666666666667,0.40506329113924,0.0105333333333333,2.25369041805957,32
"{cider} => {spaghetti}",0.0024,0.227848101265823,0.0105333333333333,1.30846918797371,18
"{cider} => {mineral water}",0.00266666666666667,0.253164556962025,0.0105333333333333,1.06252612043379,20
"{melons} => {green tea}",0.0024,0.2,0.012,1.51515151515152,18
"{melons} => {eggs}",0.00253333333333333,0.211111111111111,0.012,1.17457962413452,19
"{melons} => {mineral water}",0.0028,0.233333333333333,0.012,0.97929490766648,21
"{bacon} => {burgers}",0.002,0.230769230769231,0.00866666666666667,2.64643613267467,15
"{bacon} => {pancakes}",0.00213333333333333,0.246153846153846,0.00866666666666667,2.5892760815622,16
"{bacon} => {ground beef}",0.00213333333333333,0.246153846153846,0.00866666666666667,2.50495772883833,16
"{bacon} => {green tea}",0.00213333333333333,0.246153846153846,0.00866666666666667,1.86480186480186,16
"{bacon} => {milk}",0.002,0.230769230769231,0.00866666666666667,1.78062678062678,15
"{bacon} => {french fries}",0.00226666666666667,0.261538461538462,0.00866666666666667,1.5300612024481,17
"{bacon} => {chocolate}",0.002,0.230769230769231,0.00866666666666667,1.40827439444201,15
"{bacon} => {eggs}",0.00293333333333333,0.338461538461538,0.00866666666666667,1.88313170509016,22
"{bacon} => {spaghetti}",0.0032,0.369230769230769,0.00866666666666667,2.1203910943574,24
"{bacon} => {mineral water}",0.00306666666666667,0.353846153846154,0.00866666666666667,1.48508458525246,23
"{nonfat milk} => {milk}",0.00266666666666667,0.256410256410256,0.0104,1.97847420069642,20
"{nonfat milk} => {eggs}",0.00213333333333333,0.205128205128205,0.0104,1.14129194247889,16
"{nonfat milk} => {spaghetti}",0.00333333333333333,0.320512820512821,0.0104,1.84061726940747,25
"{nonfat milk} => {mineral water}",0.00506666666666667,0.487179487179487,0.0104,2.0446816753476,38
"{barbecue sauce} => {turkey}",0.00253333333333333,0.234567901234568,0.0108,3.75108584063808,19
"{barbecue sauce} => {green tea}",0.00226666666666667,0.209876543209877,0.0108,1.58997381219603,17
"{barbecue sauce} => {eggs}",0.0036,0.333333333333333,0.0108,1.85459940652819,27
"{barbecue sauce} => {mineral water}",0.00386666666666667,0.358024691358025,0.0108,1.50262181599619,29
"{magazines} => {green tea}",0.00293333333333333,0.268292682926829,0.0109333333333333,2.03252032520325,22
